ss,sex,age,list,ACC_VerbalAnalogy,RT_VerbalAnalogy,VerbalAnalogy_OverallACC,VerbalAnalogy_OverallRT,Far_High_ACC,Far_High_RT,Far_Low_ACC,Far_Low_RT,Near_High_ACC,Near_High_RT,Near_Low_ACC,Near_Low_RT,BPIndex,BP_Trial1,BP_Intrusions,VisACC,VisRT_total,VisRT_correct,Vis_1rc_inhib_ACC,Vis_1rc_non_ACC,Vis_2rc_inhib_ACC,Vis_2rc_non_ACC,Vis_1rc_inhib_RT_total,Vis_1rc_non_RT_total,Vis_2rc_inhib_RT_total,Vis_2rc_non_RT_total,Vis_1rc_inhib_RT_correct,Vis_1rc_non_RT_correct,Vis_2rc_inhib_RT_correct,Vis_2rc_non_RT_correct,Vis_invalid_1rc_ACC,Vis_invalid_2rc_ACC,Vis_invalid_1rc_RT_correct,Vis_invalid_2rc_RT_correct,Vis_invalid_1rc_RT_total,Vis_invalid_2rc_RT_total,Vis_1rc_dp,Vis_2rc_dp,Vis_1rc_inhib_dp,Vis_1rc_non_dp,Vis_2rc_inhib_dp,Vis_2rc_non_dp,Vis_1rc_hit,Vis_2rc_hit,Vis_1rc_inhib_hit,Vis_1rc_non_hit,Vis_2rc_inhib_hit,Vis_2rc_non_hit,Vis_1rc_FA,Vis_2rc_FA,AQ,AttenSwitch,Comm,DetailAttn,Imagination,SocialSkills,WM,OSpan,RSpan,NumberSeries,RAPM,GenKnow,TextComp,ShipleyVocab
1247,1,21,green1,0.78,4536,0.78,4689,0.6,4493.56,0.73,3854.27,0.87,6141,0.93,3654,0.92,0.65,2,0.638888889,4794.368056,4972.630435,0.75,0.75,0.583333333,0.75,4253.25,4708.25,4965.666667,4948.291667,4320.166667,5124.222222,5949.714286,4931.388889,0.458333333,0.541666667,3611,5823.153846,4384.625,5506.125,0.569856295,0.535360755,0.569856295,0.569856295,0.31506185,0.779123206,0.75,0.666666667,0.75,0.75,0.583333333,0.75,0.541666667,0.458333333,21,6,1,7,4,3,0.32,0.306666667,0.333333333,0.6,0.388888889,0.416666667,0.2,0.55
1294,1,20,yellow2,0.83,3287,0.83,3412,0.53,3438.5,0.93,3859.93,0.87,3047,1,2804,0.79,0.7,2,0.666666667,3523.694444,3542.458333,0.75,0.625,0.5,0.625,2879.041667,3140.083333,3824.166667,4190.75,3062.444444,3122,4067.75,4578.466667,0.791666667,0.708333333,3040.842105,3697.411765,3166.958333,3941.166667,1.300994213,0.705832967,1.486707552,1.130857165,0.548522283,0.867161647,0.6875,0.5625,0.75,0.625,0.5,0.625,0.208333333,0.291666667,11,4,0,5,2,0,0.61,0.72,0.493333333,0.47,0.388888889,0.625,0.333333333,0.65
1295,2,18,red1,0.93,3690,0.93,3690,0.93,3876,0.93,3864,0.93,3876.43,0.93,3142.36,0.46,0.7,6,0.923611111,3443.277778,3421.323308,0.958333333,1,0.916666667,0.958333333,2456.666667,2653.416667,4268.666667,4490.666667,2464.782609,2653.416667,4472.545455,4405.130435,0.916666667,0.791666667,2787.045455,3875.526316,2784.708333,4005.541667,3.419828259,2.346338346,3.114658523,3.419828259,2.195211929,2.543882198,0.979166667,0.9375,0.958333333,1,0.916666667,0.958333333,0.083333333,0.208333333,17,6,4,5,2,0,0.79,0.84,0.746666667,0.53,0.611111111,0.666666667,0.866666667,0.775
1325,1,20,green2,0.82,5734,0.82,6470,0.67,5957.11,0.93,6088.29,0.73,6150,0.93,4740,0.31,0.65,3,0.909722222,3700.645833,3589.946565,1,1,0.833333333,0.958333333,2403.5,2388.375,5006.333333,4634.75,2403.5,2388.375,4557.05,4602.73913,0.875,0.791666667,2992.380952,5022.842105,2905.958333,4864.958333,3.461340719,2.070379363,3.187183512,3.187183512,1.779639368,2.543882198,1,0.895833333,1,1,0.833333333,0.958333333,0.125,0.208333333,22,6,2,8,6,0,0.82,0.773333333,0.866666667,0.53,0.777777778,0.416666667,0.266666667,0.65
1361,2,20,yellow1,0.77,2281,0.77,2339,0.67,2445.2,0.93,2645.29,0.53,2101,0.93,1933,0.56,0.8,2,0.944444444,2870.055556,2872.183824,0.916666667,1,0.958333333,1,2085.541667,2049,3969.541667,3448.583333,2005.409091,2049,4017.695652,3448.583333,0.916666667,0.875,2160.545455,3553.190476,2181.666667,3486,3.114658523,3.187183512,2.765988254,3.419828259,2.882013776,3.187183512,0.958333333,0.979166667,0.916666667,1,0.958333333,1,0.083333333,0.125,6,3,0,2,0,1,0.91,0.933333333,0.893333333,0.67,0.666666667,0.833333333,0.8,0.85
1406,2,19,blue1,0.85,3367,0.85,3423,0.87,4197,0.8,3103,0.8,3518.58,0.93,2650.62,0.33,0.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,5,5,3,3,3,0.83,0.853333333,0.813333333,NA,0.333333333,NA,NA,NA
1414,1,18,blue2,0.93,5206,0.93,5206,1,6182,0.93,4781,0.93,4773,0.87,5089,0.125,0.8,0,0.902777778,5336.465278,5256.592308,1,0.958333333,0.875,0.916666667,3479.5,3900.833333,6919,7142.5,3479.5,3923.608696,6293.238095,7274.590909,0.916666667,0.75,4377.227273,6728.222222,4539.375,6037.583333,3.419828259,1.932651311,3.419828259,3.114658523,1.824839131,2.057483877,0.979166667,0.895833333,1,0.958333333,0.875,0.916666667,0.083333333,0.25,16,4,3,4,4,1,0.82,0.773333333,0.866666667,0.8,0.722222222,0.916666667,0.866666667,0.8
1415,1,45,green2,0.98,8360,0.98,8360,1,9019.93,1,9440.67,0.93,8414,1,6567,0.41,0.6,0,0.965277778,3418.381944,3449.100719,1,1,1,0.958333333,2716.125,2534.208333,4659.375,4465,2716.125,2534.208333,4659.375,4508.913043,0.916666667,0.916666667,2655.136364,3612.454545,2578.375,3557.208333,3.693985465,3.419828259,3.419828259,3.419828259,3.419828259,3.114658523,1,0.979166667,1,1,1,0.958333333,0.083333333,0.083333333,25,3,6,5,7,4,0.89,0.84,0.946666667,0.67,0.555555556,0.916666667,0.866666667,0.7
1418,1,18,yellow1,0.73,3317,0.73,3317,0.6,3761,0.87,3700,0.6,3391,0.87,2418,0.461538462,0.65,3,0.888888889,4598.027778,4619.101563,0.833333333,0.958333333,0.875,0.958333333,3234.041667,3409.5,5739.166667,4711.625,3228.3,3404.826087,5778.52381,4780.521739,0.833333333,0.875,4265.7,6273.952381,4426,6067.833333,2.225583127,2.533343507,1.934843132,2.699085962,2.300698761,2.882013776,0.895833333,0.916666667,0.833333333,0.958333333,0.875,0.958333333,0.166666667,0.125,16,5,0,5,2,4,0.65,0.613333333,0.68,0.47,0.333333333,0.333333333,0.4,0.775
1478,1,18,blue2,0.7,4967,0.7,4967,0.4,5311,0.8,4874,0.8,4932,0.8,4753,0.5,0.6,4,0.902777778,4199.895833,4154.369231,1,1,0.958333333,1,3286.166667,3200.375,5587.458333,5222.416667,3286.166667,3200.375,5534.173913,5222.416667,0.875,0.583333333,3183.714286,4636.357143,3183.333333,4719.625,3.461340719,2.247262526,3.187183512,3.187183512,1.94209279,2.247262526,1,0.979166667,1,1,0.958333333,1,0.125,0.416666667,20,5,5,2,3,5,0.65,0.72,0.586666667,0.8,0.5,0.375,0.066666667,0.6
1500,2,20,red1,0.9,3149,0.9,3238,0.8,3573,0.93,3731,0.93,2847.64,0.93,2442.92,0.36,0.85,0,0.9375,2748.722222,2772.022222,1,1,0.958333333,1,1866.958333,2036.416667,3638.5,3672.833333,1866.958333,2036.416667,3655.434783,3672.833333,0.833333333,0.833333333,2263,3152.95,2208.958333,3068.666667,3.278412904,3.004255698,3.004255698,3.004255698,2.699085962,3.004255698,1,0.979166667,1,1,0.958333333,1,0.166666667,0.166666667,15,5,1,7,1,1,0.9,0.866666667,0.933333333,0.53,0.722222222,0.541666667,0.6,0.85
1501,1,35,blue2,0.88,2712,0.88,2813,0.73,3123,0.93,3390,0.93,2066.15,0.93,2269.64,0.27,0.75,1,0.944444444,2373.548611,2387.198529,1,1,1,0.958333333,1656,1587.25,3412.125,3011.166667,1656,1587.25,3412.125,2978.434783,0.833333333,0.875,1668.05,3003.095238,1624.25,2950.5,3.278412904,3.187183512,3.004255698,3.004255698,3.187183512,2.882013776,1,0.979166667,1,1,1,0.958333333,0.166666667,0.125,22,6,5,7,0,4,0.94,0.933333333,0.946666667,0.8,0.666666667,0.666666667,0.8,0.925
1515,1,20,blue2,0.92,6519,0.92,6519,0.93,6635,0.93,6985,0.93,7350.14,0.87,5106.85,0.75,0.7,1,0.833333333,3605.548611,3559.358333,0.75,0.875,0.5,0.958333333,2786.875,2350.708333,4523.875,4081.375,2613.666667,2383.666667,4736.583333,4082.956522,1,0.916666667,3269.708333,4581.818182,3269.708333,4620.75,2.923980691,1.993288737,2.711323882,3.187183512,1.382994127,3.114658523,0.8125,0.729166667,0.75,0.875,0.5,0.958333333,0,0.083333333,23,6,4,5,2,6,NA,NA,NA,0.67,0.444444444,0.375,0.333333333,0.35
1585,1,18,red1,0.82,1714,0.82,1768,0.6,1643,0.8,1945,0.87,1841.31,1,1428.07,0.27,0.75,0,0.548611111,1594.9375,1473.531646,0.583333333,0.666666667,0.458333333,0.666666667,1488.916667,1430.291667,1603.25,1688,1231.642857,1276.125,1530.181818,1727.625,0.416666667,0.5,1734.8,1410.5,1774.958333,1584.208333,0.10821097,0.157310685,2.78e-16,0.220298905,-0.104633456,0.430727299,0.625,0.5625,0.583333333,0.666666667,0.458333333,0.666666667,0.583333333,0.5,15,7,0,6,1,1,0.94,0.946666667,0.933333333,0.33,0.333333333,0.458333333,0.2,0.65
1586,1,24,yellow2,0.75,3660,0.75,3660,0.47,4404,0.8,3714,0.87,3339,0.87,3184,0.230769231,0.65,0,0.875,3233.25,3145.746032,0.958333333,0.958333333,0.875,0.875,2357.75,2320.708333,4447.291667,3758.25,2331.826087,2256.173913,4431.666667,3791.047619,0.833333333,0.75,3133.5,3082.944444,3358.041667,3157.458333,2.699085962,1.824839131,2.699085962,2.699085962,1.824839131,1.824839131,0.958333333,0.875,0.958333333,0.958333333,0.875,0.875,0.166666667,0.25,26,8,2,4,5,7,0.9,0.893333333,0.906666667,0.47,0.444444444,0.625,0.6,0.65
1613,2,23,red1,0.78,4060,0.78,4060,0.53,4349,0.93,4420,0.8,4044.67,0.87,3427,0.6,0.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2,0,10,3,2,0.97,1,0.933333333,NA,0.333333333,NA,NA,NA
1625,2,20,blue2,0.52,3414,0.52,3414,0.2,3484,0.73,3644,0.53,3354.38,0.6,3174.11,0.33,0.6,0,0.611111111,7356.0625,6565.227273,0.75,0.833333333,0.625,0.583333333,5495.833333,6621.708333,9135.375,7125.25,5241.055556,5967.8,7139.066667,7426.714286,0.333333333,0.541666667,7608.375,7086,8457.583333,7300.625,0.381490502,0.368780432,0.243762451,0.536694267,0.42327282,0.31506185,0.791666667,0.604166667,0.75,0.833333333,0.625,0.583333333,0.666666667,0.458333333,16,2,1,7,3,3,0.81,0.693333333,0.933333333,0.33,0.5,0.333333333,0.2,0.55
1731,1,19,green2,0.73,4353,0.73,4353,0.67,4341,0.8,3801,0.53,5089,0.93,4182,0.357142857,0.7,0,0.8125,3912.75,4122.760684,0.833333333,0.875,0.791666667,1,3203.833333,2995.583333,4674.791667,3938,3535.9,3180.285714,4465.684211,3938,0.666666667,0.708333333,4685.0625,5325.764706,3938.541667,4725.75,1.485199751,1.806683844,1.398148865,1.58107668,1.360740084,2.585356414,0.854166667,0.895833333,0.833333333,0.875,0.791666667,1,0.333333333,0.291666667,29,6,4,9,3,7,0.57,0.84,0.293333333,0.87,0.277777778,0.666666667,0.133333333,0.65
1745,1,27,yellow2,0.53,1558,0.53,1558,0.33,1620,0.53,1983,0.73,1420,0.53,1207,0.714285714,0.7,1,0.555555556,1123.625,1099.8625,0.458333333,0.583333333,0.583333333,0.666666667,841.625,1080.041667,1278.208333,1482.333333,1025.181818,1330.285714,1331.214286,1241.25,0.416666667,0.625,389,1046.733333,978.125,1081.416667,-0.158183214,0.637278728,-0.31506185,2.78e-16,0.529067758,0.749366663,0.520833333,0.625,0.458333333,0.583333333,0.583333333,0.666666667,0.583333333,0.375,24,7,4,5,3,5,0.01,0.026666667,0,0.47,0.166666667,0.375,0.4,0.6
1771,2,43,red2,0.72,4389,0.72,4555,0.47,4667,0.8,4630,0.6,4392.11,1,3868.36,0.08,0.5,8,0.708333333,3869.763889,3769.333333,0.833333333,0.875,0.875,0.875,3161.916667,2757.041667,4198.875,4167.916667,2986.05,2761.428571,4146.809524,3687.952381,0.416666667,0.375,4700.9,6135.777778,3856.5,5076.333333,0.844044058,0.831710016,0.756993172,0.939920986,0.831710016,0.831710016,0.854166667,0.875,0.833333333,0.875,0.875,0.875,0.583333333,0.625,25,5,4,8,5,3,0.55,0.666666667,0.44,0.2,0.5,0.291666667,0.133333333,0.6
1788,1,17,green2,0.92,2376,0.92,2780,0.8,2205.92,0.93,2387.31,1,2584,0.93,2325,0.28,0.85,1,0.930555556,2939.625,2923.462687,0.958333333,1,0.958333333,0.958333333,1994.25,2185.875,3934.083333,4011.583333,1964.73913,2185.875,3941,3972.26087,0.833333333,0.875,2426.9,3026.238095,2477.625,3034.333333,3.004255698,2.882013776,2.699085962,3.004255698,2.882013776,2.882013776,0.979166667,0.958333333,0.958333333,1,0.958333333,0.958333333,0.166666667,0.125,16,5,2,6,1,2,0.93,0.933333333,0.92,0.73,0.666666667,0.75,0.6,0.725
1795,2,19,yellow2,0.82,3674,0.82,3827,0.67,4150.5,1,4056.93,0.87,3590,0.73,2900,0.24,0.65,1,0.854166667,2862.055556,2784.520325,0.916666667,0.916666667,0.833333333,0.916666667,2022.875,2074.083333,3767.375,3685.25,1982.818182,2070.136364,3657.9,3707.136364,0.875,0.666666667,2060.142857,3459.5625,2067.958333,3554.791667,2.533343507,1.58107668,2.533343507,2.533343507,1.398148865,1.813721426,0.916666667,0.875,0.916666667,0.916666667,0.833333333,0.916666667,0.125,0.333333333,17,4,2,3,5,3,0.79,0.866666667,0.72,0.53,0.555555556,0.458333333,0.333333333,0.65
1812,1,24,green1,0.92,2609,0.92,2682,0.87,2515.08,0.93,3131.93,0.87,2985,1,1805,0.15,0.65,1,0.729166667,3398.326389,3274.47619,0.666666667,0.875,0.666666667,0.791666667,3057.625,3121.583333,3603.208333,3703.75,2959.1875,3041.428571,3698.75,3602.210526,0.791666667,0.583333333,2762.684211,3749.285714,3083.166667,3820.625,1.553811845,0.820723004,1.242945101,1.962567182,0.641155694,1.022646196,0.770833333,0.729166667,0.666666667,0.875,0.666666667,0.791666667,0.208333333,0.416666667,14,7,2,3,1,1,0.81,0.92,0.706666667,0.47,0.388888889,0.625,0.733333333,0.8
1818,1,18,yellow2,0.85,4377,0.85,4377,0.73,3788,0.93,4462,0.73,4805,1,4453,0.6,0.75,2,0.888888889,3722.319444,3777.578125,0.791666667,1,0.958333333,1,2852.375,3853.333333,4364.125,4256.958333,2829.789474,3853.333333,4395.695652,4256.958333,0.791666667,0.791666667,2889.368421,4164.105263,2850,4157.125,2.070379363,2.849051933,1.624435603,2.849051933,2.543882198,2.849051933,0.895833333,0.979166667,0.791666667,1,0.958333333,1,0.208333333,0.208333333,30,9,8,6,3,4,0.83,0.746666667,0.906666667,NA,0.611111111,0.375,0.8,0.725
1824,2,23,yellow2,0.95,4988,0.95,5086,0.93,5359,1,5173.93,1,5066,0.87,4354,0.28,0.55,4,0.840277778,3735.3125,3660.446281,0.916666667,1,0.791666667,0.833333333,3306.416667,2171.583333,4717.791667,4638.416667,3366.5,2171.583333,4732.052632,4864.45,0.833333333,0.666666667,3220.4,4070.4375,3328.958333,4248.708333,2.699085962,1.317873858,2.350415693,3.004255698,1.242945101,1.398148865,0.958333333,0.8125,0.916666667,1,0.791666667,0.833333333,0.166666667,0.333333333,27,9,5,6,2,5,0.54,0.6,0.48,0.4,0.5,0.625,0.6,0.875
1905,1,18,yellow2,0.77,4477,0.77,4601,0.67,3488.7,1,4096.14,0.67,5785,0.73,4538,NA,NA,NA,0.8125,4260.027778,4223.512821,0.75,0.958333333,0.625,0.916666667,4002.625,3429.208333,5309.625,5318,3708.333333,3479.086957,5630,5409.909091,0.875,0.75,2883.52381,4631.111111,2941.166667,4559.541667,2.204821832,1.416083794,1.824839131,2.882013776,0.993129114,2.057483877,0.854166667,0.770833333,0.75,0.958333333,0.625,0.916666667,0.125,0.25,19,7,2,5,2,3,NA,NA,NA,0.93,0.666666667,0.458333333,0.133333333,0.7
1920,2,19,green2,0.87,5293,0.87,5531,0.73,8633.45,0.93,4590.64,0.8,4245,1,3703,0.51,0.8,0,0.75,3355.756944,3161.277778,0.916666667,0.916666667,0.666666667,0.625,2739.958333,3139.708333,4078.458333,3626.666667,2757.818182,2849.227273,4021.625,3247.933333,0.708333333,0.666666667,2669.294118,3726.25,2794.666667,3755.083333,1.93151641,0.804822709,1.93151641,1.93151641,0.861454599,0.749366663,0.916666667,0.645833333,0.916666667,0.916666667,0.666666667,0.625,0.291666667,0.333333333,14,4,2,7,0,1,0.69,0.706666667,0.68,0.47,0.388888889,0.375,0.6,0.65
1922,2,40,blue1,0.78,3395,0.78,3395,0.6,3288,0.93,3682,0.73,3694.55,0.87,2913.31,-0.21,0.45,7,0.527777778,1159.159722,1136.539474,0.708333333,0.708333333,0.583333333,0.583333333,1141.333333,1114.666667,1212.833333,1070.166667,1155,1076.705882,1163.214286,924.5714286,0.291666667,0.291666667,1377.142857,1367,1162.75,1253.208333,0,-0.338093888,0,0,-0.338093888,-0.338093888,0.708333333,0.583333333,0.708333333,0.708333333,0.583333333,0.583333333,0.708333333,0.708333333,21,6,3,6,4,2,0.65,0.72,0.586666667,0.33,0.222222222,0.416666667,0.2,0.775
1957,2,20,yellow2,0.95,6286,0.95,6469,0.93,7504.71,1,6701.15,1,6133,0.87,4803,0.59,0.75,0,0.868055556,4326.604167,4214.136,1,0.916666667,0.916666667,0.708333333,3329.291667,3072.333333,5092.791667,5719.666667,3329.291667,3005.318182,5026.772727,5826.411765,0.833333333,0.833333333,3530.95,5024.5,3750.333333,4995.208333,2.699085962,1.854568125,3.004255698,2.350415693,2.350415693,1.515943849,0.958333333,0.8125,1,0.916666667,0.916666667,0.708333333,0.166666667,0.166666667,19,4,4,7,1,3,0.42,0.493333333,0.346666667,0.33,0.5,0.375,0.4,0.75
1960,1,21,red2,0.72,2433,0.72,2433,0.73,2370,0.6,2518,0.73,2680,0.8,2163,0.2,0.5,14,0.555555556,1099.027778,1047.525,0.666666667,0.625,0.458333333,0.666666667,1389.375,572.0416667,1049.833333,1002.708333,1223.4375,582,1000.090909,1316.8125,0.5,0.416666667,1189.166667,915.7,1229.666667,1350.541667,0.37409541,-0.05311771,0.430727299,0.318639364,-0.31506185,0.220298905,0.645833333,0.5625,0.666666667,0.625,0.458333333,0.666666667,0.5,0.583333333,28,7,5,5,5,6,0.7,0.853333333,0.546666667,0.33,0.111111111,0.458333333,0.266666667,0.65
1963,1,19,red1,0.62,2844,0.62,2844,0.67,3914,0.53,2860,0.47,2786.86,0.8,1815.92,0.54,0.6,0,0.569444444,865.1319444,869.4268293,0.541666667,0.666666667,0.791666667,0.75,708.2916667,986.7083333,820.125,901.0416667,585.6923077,1001.125,839.7894737,1007.388889,0.416666667,0.25,759.5,996.1666667,878,896.625,0.053718583,0.067104294,-0.105794939,0.220298905,0.137728051,0,0.604166667,0.770833333,0.541666667,0.666666667,0.791666667,0.75,0.583333333,0.75,12,2,2,4,2,2,0.47,0.72,0.21333333300000001,0.27,0.166666667,0.291666667,0.466666667,0.6
1964,2,18,green2,0.92,4466,0.92,4651,0.87,5342.46,0.93,5141.77,0.87,3795,1,3583,0.5,0.6,3,0.861111111,3735.805556,3695.33871,1,0.958333333,0.791666667,0.958333333,2674.833333,2898.625,4980.875,4101.458333,2674.833333,2907.304348,5398.526316,4084.521739,0.708333333,0.75,3139.823529,4292.5,3282.958333,4476.083333,2.585356414,1.824839131,2.585356414,2.280186679,1.486707552,2.406154146,0.979166667,0.875,1,0.958333333,0.791666667,0.958333333,0.291666667,0.25,18,6,1,6,2,3,0.61,0.653333333,0.56,0.47,0.666666667,0.625,0.6,0.725
1980,2,33,blue2,0.82,3677,0.82,4246,0.6,4339,0.8,3690,0.93,3254.92,0.93,3424.85,NA,NA,NA,0.458333333,3923.451389,4008.621212,0.333333333,0.458333333,0.458333333,0.291666667,3312.083333,3442.458333,4401.708333,4167.666667,2821.625,3623.636364,4335.727273,3939.714286,0.583333333,0.625,3912.285714,4806.2,3721.375,4495.416667,-0.053718583,0,-0.220298905,0.105794939,0.214005908,-0.229882919,0.395833333,0.375,0.333333333,0.458333333,0.458333333,0.291666667,0.416666667,0.375,23,4,4,6,6,3,0.7,0.64,0.76,0.47,0.277777778,NA,NA,NA
1989,1,25,blue2,0.83,4330,0.83,4330,0.6,4514,1,4740,0.87,3758,0.87,4310,0.3,0.5,7,0.888888889,4638.090278,4477.945313,0.875,1,0.708333333,1,3580.416667,3665.083333,5865.25,5302.791667,3397,3665.083333,5777.117647,5302.791667,0.916666667,0.833333333,4088.818182,4922.3,4174.708333,5240.291667,2.917114671,2.021894018,2.533343507,3.419828259,1.515943849,3.004255698,0.9375,0.854166667,0.875,1,0.708333333,1,0.083333333,0.166666667,11,4,1,3,1,2,0.44,0.12,0.76,0.4,0.5,0.458333333,0.4,0.65
1992,2,21,blue1,0.77,3828,0.77,3978,0.53,4877,0.93,3739,0.8,3575.91,0.8,3118.75,0.06,0.8,1,0.888888889,3396.625,3344.789063,0.958333333,1,0.75,1,2535.291667,2706.375,4177.625,4004.25,2502.826087,2706.375,4184.166667,4004.25,0.875,0.75,3005.047619,3949.555556,3133.375,3822.833333,3.187183512,1.824839131,2.882013776,3.187183512,1.3489795,2.711323882,0.979166667,0.875,0.958333333,1,0.75,1,0.125,0.25,15,2,2,6,4,1,0.91,0.853333333,0.96,0.47,0.611111111,0.291666667,0.466666667,0.65
1993,2,20,blue1,0.97,4913,0.97,5333,0.87,4187,1,4623,1,4737.64,1,6105.87,0.38,0.8,1,0.951388889,3038.152778,2998.481752,0.958333333,1,1,0.958333333,2111.208333,2314.5,3951.833333,3951,2086.869565,2314.5,3951.833333,3854.652174,0.916666667,0.875,2344,3437,2345.666667,3554.708333,3.419828259,3.187183512,3.114658523,3.419828259,3.187183512,2.882013776,0.979166667,0.979166667,0.958333333,1,1,0.958333333,0.083333333,0.125,15,3,0,9,2,1,0.84,0.786666667,0.893333333,0.67,0.888888889,0.625,0.866666667,0.725
1994,2,19,green1,0.8,6656,0.8,6839,0.6,8263,0.87,6638.15,0.87,6388,0.87,5333,0.42,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.44,0.56,NA,0.333333333,NA,NA,NA
1995,1,18,yellow2,0.67,6532,0.67,6532,0.87,6299.23,0.53,8780.75,0.53,5051,0.73,5995,0.63,0.65,0,0.930555556,3601.930556,3523.932836,1,1,0.958333333,0.875,2687.125,2553.625,4901.291667,4485,2687.125,2553.625,4889.826087,4538.095238,0.916666667,0.833333333,2787.090909,3867.35,2893.25,4091.291667,3.693985465,2.350415693,3.419828259,3.419828259,2.699085962,2.117770946,1,0.916666667,1,1,0.958333333,0.875,0.083333333,0.166666667,22,5,3,6,7,1,0.73,0.853333333,0.613333333,0.33,0.333333333,0.375,0.133333333,0.35
1996,1,19,green2,0.55,1814,0.55,2181,0.47,287.86,0.53,5434.25,0.53,287,0.67,1247,0.67,0.55,5,0.541666667,2657.173611,2543.5,0.625,0.583333333,0.625,0.5,2799.458333,2555.375,2066,2440.541667,3197.666667,2640.214286,2065.866667,2321.333333,0.583333333,0.333333333,2683.428571,2131.625,4140.833333,1940.833333,0.474575371,-0.273416615,0.529067758,0.420856788,-0.112087935,-0.430727299,0.604166667,0.5625,0.625,0.583333333,0.625,0.5,0.416666667,0.666666667,24,5,6,4,4,5,0.69,0.773333333,0.6,0.2,0.444444444,0.25,0.133333333,0.6
1997,1,17,blue1,0.95,3512,0.95,3512,0.87,3464,1,3257,0.93,3274,1,4054,0.5625,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,0,7,0,1,0.64,0.813333333,0.466666667,0.73,0.5,0.458333333,0.333333333,0.675
1999,1,19,yellow2,0.87,3805,0.87,3805,0.73,4364,1,4302,0.87,3507,0.87,3049,0.307692308,0.65,2,0.819444444,3490.215278,3461.288136,0.791666667,0.958333333,0.75,0.916666667,2967.791667,2711.083333,4226.375,4213.875,3111.421053,2725.608696,4005.444444,4280.045455,0.791666667,0.708333333,2626.578947,4144.823529,2817.375,4004.791667,1.962567182,1.515943849,1.624435603,2.543882198,1.223012033,1.93151641,0.875,0.833333333,0.791666667,0.958333333,0.75,0.916666667,0.208333333,0.291666667,18,7,1,4,4,2,0.5,0.386666667,0.613333333,0.6,0.444444444,0.541666667,0.666666667,0.85
2000,2,19,green2,0.82,3765,0.82,4097,0.73,3952.82,0.73,4433.6,0.8,3709,1,2966,0.39,0.75,0,0.930555556,3850.916667,3744.58209,0.958333333,1,0.958333333,0.958333333,2799.75,2774.208333,5256.833333,4211.041667,2604.869565,2774.208333,5032.130435,4256.347826,0.833333333,0.875,3183,4666,3334.5,4729.166667,3.004255698,2.882013776,2.699085962,3.004255698,2.882013776,2.882013776,0.979166667,0.958333333,0.958333333,1,0.958333333,0.958333333,0.166666667,0.125,14,5,2,5,0,2,0.88,0.84,0.92,0.73,0.722222222,0.5,0.266666667,0.6
2011,2,20,red2,0.77,3594,0.77,3999,0.6,4350,0.73,3730,0.73,3694.82,1,2600.21,0.62,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,2,1,1,3,0.81,0.88,0.733333333,NA,0.388888889,NA,NA,NA
2012,2,18,green2,0.93,4665,0.93,5330,0.93,3713.92,0.87,4563.33,0.93,5560,1,4822,0.45,1,5,0.895833333,3355.736111,3343.682171,0.916666667,0.958333333,0.875,0.916666667,2519.833333,2644.416667,4327.25,3987.708333,2389.409091,2662.652174,4414.190476,4077.136364,0.875,0.833333333,2466.52381,4166.75,2464.416667,4190.791667,2.684469925,2.225583127,2.533343507,2.882013776,2.117770946,2.350415693,0.9375,0.895833333,0.916666667,0.958333333,0.875,0.916666667,0.125,0.166666667,11,6,0,3,1,1,0.87,0.906666667,0.826666667,0.73,0.666666667,0.666666667,0.8,0.925
2013,2,19,red1,0.97,3487,0.97,3886,0.93,4327,1,3700,0.93,3073,1,2849.27,NA,NA,NA,0.875,5169.611111,5289.68254,0.958333333,0.75,0.791666667,0.875,3526.583333,3744.916667,7248.5,6034.583333,3600.695652,3801,7767,6185.666667,0.916666667,0.958333333,3923.272727,6586.173913,3903.458333,6559.625,2.437466579,2.699085962,3.114658523,2.057483877,2.543882198,2.882013776,0.854166667,0.833333333,0.958333333,0.75,0.791666667,0.875,0.083333333,0.041666667,14,4,3,4,1,2,0.86,0.76,0.96,0.27,0.388888889,0.833333333,0.6,0.725
