ss,sex,age,list,ACC_VerbalAnalogy,RT_VerbalAnalogy,VerbalAnalogy_OverallACC,VerbalAnalogy_OverallRT,Far_High_ACC,Far_High_RT,Far_Low_ACC,Far_Low_RT,Near_High_ACC,Near_High_RT,Near_Low_ACC,Near_Low_RT,BPIndex,BP_Trial1,BP_Intrusions,VisACC,VisRT_total,VisRT_correct,Vis_1rc_inhib_ACC,Vis_1rc_non_ACC,Vis_2rc_inhib_ACC,Vis_2rc_non_ACC,Vis_1rc_inhib_RT_total,Vis_1rc_non_RT_total,Vis_2rc_inhib_RT_total,Vis_2rc_non_RT_total,Vis_1rc_inhib_RT_correct,Vis_1rc_non_RT_correct,Vis_2rc_inhib_RT_correct,Vis_2rc_non_RT_correct,Vis_invalid_1rc_ACC,Vis_invalid_2rc_ACC,Vis_invalid_1rc_RT_correct,Vis_invalid_2rc_RT_correct,Vis_invalid_1rc_RT_total,Vis_invalid_2rc_RT_total,Vis_1rc_dp,Vis_2rc_dp,Vis_1rc_inhib_dp,Vis_1rc_non_dp,Vis_2rc_inhib_dp,Vis_2rc_non_dp,Vis_1rc_hit,Vis_2rc_hit,Vis_1rc_inhib_hit,Vis_1rc_non_hit,Vis_2rc_inhib_hit,Vis_2rc_non_hit,Vis_1rc_FA,Vis_2rc_FA,AQ,AttenSwitch,Comm,DetailAttn,Imagination,SocialSkills,WM,OSpan,RSpan,NumberSeries,RAPM,GenKnow,TextComp,ShipleyVocab
3822,1,23,red2,0.55,2403,0.55,2403,0.67,1901,0.2,2446,0.67,2429.11,0.67,2835.5,NA,NA,NA,0.604166667,1746.1875,1663.471264,0.75,0.625,0.75,0.708333333,1994.208333,2115.583333,1465.666667,1442.458333,1530.833333,2233.133333,1564.222222,1620.411765,0.416666667,0.375,1201.7,1772.222222,1697.125,1762.083333,0.278348017,0.291655246,0.464061356,0.10821097,0.355850386,0.229882919,0.6875,0.729166667,0.75,0.625,0.75,0.708333333,0.583333333,0.625,26,5,6,4,5,6,0.17,0.266666667,0.08,0.2,0,0.375,0.133333333,0.6
3897,2,37,blue1,0.93,3495,0.93,3730,0.8,4219,1,3134,0.93,3273.43,1,3353.43,0.1,0.85,0,0.916666667,2945.222222,2930.143939,0.958333333,0.958333333,0.875,1,2178.291667,2048.25,3555.25,3480.166667,2157.608696,2003.086957,3585.904762,3480.166667,0.833333333,0.875,2662,3762.619048,2630.541667,3778.833333,2.699085962,2.684469925,2.699085962,2.699085962,2.300698761,3.187183512,0.958333333,0.9375,0.958333333,0.958333333,0.875,1,0.166666667,0.125,16,6,1,4,2,3,0.85,0.8,0.893333333,0.4,0.388888889,0.541666667,0.4,0.725
4012,2,23,yellow2,0.93,3754,0.93,4142,0.87,3426.75,0.87,3888.83,1,4355,1,3344,0.19,0.8,3,0.930555556,2651.513889,2620.529851,0.958333333,1,0.958333333,0.958333333,1860,1920.458333,3365.083333,3772.166667,1879.869565,1920.458333,3430.521739,3759.434783,0.916666667,0.791666667,2188.363636,2542.631579,2168.666667,2822.708333,3.419828259,2.543882198,3.114658523,3.419828259,2.543882198,2.543882198,0.979166667,0.958333333,0.958333333,1,0.958333333,0.958333333,0.083333333,0.208333333,21,5,4,8,4,0,0.86,0.853333333,0.866666667,0.67,0.611111111,0.333333333,0.333333333,0.625
4040,1,18,green1,0.8,2253,0.8,2253,0.73,2002,0.8,2348,0.8,2645,0.87,2015,0.4,0.75,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,6,4,4,3,4,0.74,0.72,0.76,NA,0.111111111,NA,NA,NA
4046,2,21,yellow1,0.87,4275,0.87,4275,0.73,4617.55,0.87,5253,0.93,3871,0.93,3358,0.29,0.7,4,0.902777778,3283.027778,3236.523077,0.833333333,1,0.75,1,2317.083333,2254.083333,4305.791667,4210.791667,2368.75,2254.083333,4189.166667,4210.791667,0.916666667,0.916666667,2698.954545,3792.454545,2808.791667,3801.625,2.765988254,2.533343507,2.350415693,3.419828259,2.057483877,3.419828259,0.916666667,0.875,0.833333333,1,0.75,1,0.083333333,0.083333333,24,6,3,9,4,2,0.69,0.813333333,0.56,0.6,0.388888889,0.541666667,0.333333333,0.7
4047,2,21,blue2,0.87,6709,0.87,7632,0.73,5639,0.87,7526,0.93,8054.93,0.93,5616.62,0.31,0.7,4,0.888888889,4422.479167,4352.4375,0.958333333,0.958333333,0.958333333,0.875,3834.916667,3305.458333,5512.791667,5328.666667,3700.782609,3318,5472,5238.52381,0.791666667,0.791666667,3516.052632,4895.263158,3376.208333,5176.833333,2.543882198,2.195211929,2.543882198,2.543882198,2.543882198,1.962567182,0.958333333,0.916666667,0.958333333,0.958333333,0.958333333,0.875,0.208333333,0.208333333,26,6,6,5,5,4,0.85,0.946666667,0.76,0.53,0.444444444,0.416666667,0.333333333,0.6
4150,1,28,green1,0.9,4496,0.9,4496,0.8,4376,0.8,4192,1,5336,1,4082,0.545454545,0.55,6,0.708333333,2497.111111,2353.04902,0.833333333,0.791666667,0.833333333,0.791666667,2342.416667,2746.083333,2424.625,2518,2054.25,2671.263158,2206.75,2430.473684,0.625,0.375,2392.133333,2441.777778,2505.25,2446.291667,1.205785923,0.568507195,1.28606093,1.130857165,0.648782202,0.493578438,0.8125,0.8125,0.833333333,0.791666667,0.833333333,0.791666667,0.375,0.625,12,3,1,6,1,1,0.61,0.533333333,0.693333333,0.47,0.388888889,0.625,0.533333333,0.625
4226,1,18,red2,0.85,2572,0.85,2572,0.8,2771,0.87,2416,0.8,2511,0.93,2592,0.166666667,0.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,5,5,2,4,0.85,0.933333333,0.773333333,0.73,0.722222222,0.458333333,0.733333333,0.825
4234,2,24,blue1,0.85,3913,0.85,4010,0.73,3884,0.87,4007,0.87,4116.62,0.93,3645.46,0.21,0.7,4,0.930555556,4794.222222,4727.761194,0.916666667,1,0.875,1,3941.625,3330.125,6196.125,5903.541667,3927.909091,3330.125,6211.47619,5903.541667,0.916666667,0.875,3735.454545,5375.095238,3700.5,5693.416667,3.114658523,2.684469925,2.765988254,3.419828259,2.300698761,3.187183512,0.958333333,0.9375,0.916666667,1,0.875,1,0.083333333,0.125,12,1,0,6,4,1,0.83,0.88,0.773333333,0.27,0.277777778,0.375,0.2,0.725
4276,2,28,green1,0.85,4753,0.85,4948,0.73,5289.18,0.87,5928.92,0.8,4302,1,3491,0.2,0.75,2,0.736111111,4619.270833,4322.367925,0.625,0.833333333,0.583333333,0.791666667,3907.166667,3398.541667,5842.666667,5583.916667,3046.8,3376,5583,5378.421053,0.833333333,0.75,4031.8,4664.5,3953.333333,5030,1.577716176,1.163266161,1.28606093,1.934843132,0.884918144,1.486707552,0.729166667,0.6875,0.625,0.833333333,0.583333333,0.791666667,0.166666667,0.25,14,3,0,6,4,1,0.83,0.826666667,0.826666667,0.67,0.5,0.416666667,0.866666667,0.875
