ss,sex,age,bp_index,bp_trial1,bp_intrusions,verbgen_ir,ospan,rspan,num_series,rapm,gen_know,text_comp,shipley_vocab
3456,1,19,0.54,0.65,1,328,0.813333333,0.906666667,NA,0.611111111,0.583333333,0.6,0.7
3595,2,19,0.18,0.75,1,874,0.746666667,0.84,0.4,0.5,NA,NA,NA
3627,1,29,0.39,0.65,2,-656,0.773333333,0.613333333,0.47,0.222222222,0.625,0.466666667,0.7
3663,2,28,0.37,0.4,10,1105,0.653333333,0.96,0.27,0.388888889,0.291666667,0.333333333,0.475
3670,2,24,0.5,0.4,1,954,0.906666667,0.746666667,0.47,0.444444444,0.291666667,0.6,0.75
3692,1,22,0.333333333,0.6,0,341,0.906666667,0.813333333,0.73,0.444444444,0.708333333,0.6,0.8
3713,2,19,0.06,0.7,0,281,0.853333333,0.933333333,NA,0.833333333,NA,NA,NA
3720,2,18,0.33,0.75,2,750,0.706666667,0.76,0.6,0.555555556,0.625,0.8,0.875
3724,2,18,0.59,0.85,1,616,NA,NA,0.53,0.388888889,0.416666667,0.133333333,0.55
3729,1,18,0.466666667,0.75,2,-18,0.973333333,0.6,0.67,0.5,0.375,0.333333333,0.65
3737,2,20,0.29,0.8,1,458,0.8,0.8,0.47,0.444444444,0.416666667,0.133333333,0.575
3812,1,24,0.8,0.35,0,459,0.72,0.44,0.13,0.055555556,0.125,0.066666667,0.425
3822,1,23,NA,NA,NA,-54,0.266666667,0.08,0.2,0,0.375,0.133333333,0.6
3897,2,37,0.1,0.85,0,752,0.8,0.893333333,0.4,0.388888889,0.541666667,0.4,0.725
4012,2,23,0.19,0.8,3,59,0.853333333,0.866666667,0.67,0.611111111,0.333333333,0.333333333,0.625
4040,1,18,0.4,0.75,5,139,0.72,0.76,NA,0.111111111,NA,NA,NA
4046,2,21,0.29,0.7,4,825,0.813333333,0.56,0.6,0.388888889,0.541666667,0.333333333,0.7
4047,2,21,0.31,0.7,4,1199,0.946666667,0.76,0.53,0.444444444,0.416666667,0.333333333,0.6
4150,1,28,0.545454545,0.55,6,-30.5,0.533333333,0.693333333,0.47,0.388888889,0.625,0.533333333,0.625
4226,1,18,0.166666667,0.6,0,36,0.933333333,0.773333333,0.73,0.722222222,0.458333333,0.733333333,0.825
4234,2,24,0.21,0.7,4,906,0.88,0.773333333,0.27,0.277777778,0.375,0.2,0.725
4276,2,28,0.2,0.75,2,1302,0.826666667,0.826666667,0.67,0.5,0.416666667,0.866666667,0.875
4279,1,20,0.6375,0.65,1,371,0.746666667,0.72,NA,0.388888889,NA,NA,NA
4281,2,22,0.14,0.75,1,254,0.733333333,0.786666667,NA,0.611111111,NA,NA,NA
